config,tx_id,latency_ms,endorsement_ms,ordering_ms,validation_ms,payload_bytes,confirmed,mode
classical,0,80.8324527900617,25.35870001002659,40.21898555000498,15.25476723003012,576,True,calibrated_simulation
classical,1,81.64077731796232,25.612287010126856,40.62117540550503,15.407314902330421,576,True,calibrated_simulation
classical,2,82.44910184586293,25.86587401022712,41.02336526100508,15.559862574630722,576,True,calibrated_simulation
classical,3,83.25742637376355,26.119461010327388,41.42555511650513,15.712410246931025,576,True,calibrated_simulation
classical,4,84.06575090166416,26.373048010427652,41.82774497200518,15.864957919231326,576,True,calibrated_simulation
classical,5,84.87407542956478,26.62663501052792,42.22993482750523,16.017505591531627,576,True,calibrated_simulation
classical,6,85.6823999574654,26.880222010628184,42.63212468300528,16.170053263831928,576,True,calibrated_simulation
classical,7,80.8324527900617,25.35870001002659,40.21898555000498,15.25476723003012,576,True,calibrated_simulation
classical,8,81.64077731796232,25.612287010126856,40.62117540550503,15.407314902330421,576,True,calibrated_simulation
classical,9,82.44910184586293,25.86587401022712,41.02336526100508,15.559862574630722,576,True,calibrated_simulation
classical,10,83.25742637376355,26.119461010327388,41.42555511650513,15.712410246931025,576,True,calibrated_simulation
classical,11,84.06575090166416,26.373048010427652,41.82774497200518,15.864957919231326,576,True,calibrated_simulation
classical,12,84.87407542956478,26.62663501052792,42.22993482750523,16.017505591531627,576,True,calibrated_simulation
classical,13,85.6823999574654,26.880222010628184,42.63212468300528,16.170053263831928,576,True,calibrated_simulation
classical,14,80.8324527900617,25.35870001002659,40.21898555000498,15.25476723003012,576,True,calibrated_simulation
classical,15,81.64077731796232,25.612287010126856,40.62117540550503,15.407314902330421,576,True,calibrated_simulation
classical,16,82.44910184586293,25.86587401022712,41.02336526100508,15.559862574630722,576,True,calibrated_simulation
classical,17,83.25742637376355,26.119461010327388,41.42555511650513,15.712410246931025,576,True,calibrated_simulation
classical,18,84.06575090166416,26.373048010427652,41.82774497200518,15.864957919231326,576,True,calibrated_simulation
classical,19,84.87407542956478,26.62663501052792,42.22993482750523,16.017505591531627,576,True,calibrated_simulation
classical,20,85.6823999574654,26.880222010628184,42.63212468300528,16.170053263831928,576,True,calibrated_simulation
classical,21,80.8324527900617,25.35870001002659,40.21898555000498,15.25476723003012,576,True,calibrated_simulation
classical,22,81.64077731796232,25.612287010126856,40.62117540550503,15.407314902330421,576,True,calibrated_simulation
classical,23,82.44910184586293,25.86587401022712,41.02336526100508,15.559862574630722,576,True,calibrated_simulation
classical,24,83.25742637376355,26.119461010327388,41.42555511650513,15.712410246931025,576,True,calibrated_simulation
classical,25,84.06575090166416,26.373048010427652,41.82774497200518,15.864957919231326,576,True,calibrated_simulation
classical,26,84.87407542956478,26.62663501052792,42.22993482750523,16.017505591531627,576,True,calibrated_simulation
classical,27,85.6823999574654,26.880222010628184,42.63212468300528,16.170053263831928,576,True,calibrated_simulation
classical,28,80.8324527900617,25.35870001002659,40.21898555000498,15.25476723003012,576,True,calibrated_simulation
classical,29,81.64077731796232,25.612287010126856,40.62117540550503,15.407314902330421,576,True,calibrated_simulation
classical,30,82.44910184586293,25.86587401022712,41.02336526100508,15.559862574630722,576,True,calibrated_simulation
classical,31,83.25742637376355,26.119461010327388,41.42555511650513,15.712410246931025,576,True,calibrated_simulation
classical,32,84.06575090166416,26.373048010427652,41.82774497200518,15.864957919231326,576,True,calibrated_simulation
classical,33,84.87407542956478,26.62663501052792,42.22993482750523,16.017505591531627,576,True,calibrated_simulation
classical,34,85.6823999574654,26.880222010628184,42.63212468300528,16.170053263831928,576,True,calibrated_simulation
classical,35,80.8324527900617,25.35870001002659,40.21898555000498,15.25476723003012,576,True,calibrated_simulation
classical,36,81.64077731796232,25.612287010126856,40.62117540550503,15.407314902330421,576,True,calibrated_simulation
classical,37,82.44910184586293,25.86587401022712,41.02336526100508,15.559862574630722,576,True,calibrated_simulation
classical,38,83.25742637376355,26.119461010327388,41.42555511650513,15.712410246931025,576,True,calibrated_simulation
classical,39,84.06575090166416,26.373048010427652,41.82774497200518,15.864957919231326,576,True,calibrated_simulation
classical,40,84.87407542956478,26.62663501052792,42.22993482750523,16.017505591531627,576,True,calibrated_simulation
classical,41,85.6823999574654,26.880222010628184,42.63212468300528,16.170053263831928,576,True,calibrated_simulation
classical,42,80.8324527900617,25.35870001002659,40.21898555000498,15.25476723003012,576,True,calibrated_simulation
classical,43,81.64077731796232,25.612287010126856,40.62117540550503,15.407314902330421,576,True,calibrated_simulation
